Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,
346919,313629.75,62.28,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346919,313629.75,62.28,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347097,316766.04,62.28,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347097,316766.04,62.28,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346908,317809.71,68.9,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346908,317809.71,68.9,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347217,318459.71,40.05,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347217,318459.71,40.05,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347196,319933.7,62.28,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347196,319933.7,62.28,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347175,324197.68,68.9,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347175,324197.68,68.9,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3252244,360000.0,66.79,-19.9764685,-43.97826580000003,2,1,0,2,385.0,123.6,oeste,12/10/2018,Buritis,Rua José Phino Aleixo,79,
3244615,399000.0,80.0,-19.926804,-43.96476200000001,3,2,0,1,250.0,100.0,oeste,12/10/2018,Calafate,Rua Turquesa,362,
3244615,399000.0,80.0,-19.926804,-43.96476200000001,3,2,0,1,250.0,100.0,oeste,12/10/2018,Prado,Rua Turquesa,362,
3252326,420000.0,70.57,-19.9808781,-43.97705410000003,2,3,2,2,750.0,172.66,oeste,12/10/2018,Buritis,Rua Rubens Caporali Ribeiro,752,
3257021,495000.0,111.64,-19.967102,-43.97087299999998,3,3,1,3,692.0,149.0,oeste,12/10/2018,Buritis,Rua Iracy Manata,98,
3267371,495000.0,145.0,-19.922752,-43.9799208,3,3,1,2,180.0,118.0,noroeste,12/10/2018,Padre Eustáquio,Rua José do Patrocínio,278,
3255140,790000.0,176.82,-19.9766057,-43.97745650000002,3,2,1,3,0.01,0.01,oeste,12/10/2018,Buritis,Avenida Aggeo Pio Sobrinho,201,
43732,830000.0,180.0,-19.9489041,-43.9474237,4,3,1,2,1100.0,184.0,centro-sul,12/10/2018,Santo Antônio,Rua Pitangueiras,601,
3255591,860000.0,176.82,-19.9749628,-43.97697950000003,3,2,1,3,0.01,0.01,oeste,12/10/2018,Buritis,Avenida Aggeo Pio Sobrinho,201,
3268695,950000.0,200.0,-19.9765999,-43.964121999999975,4,4,1,3,1115.0,470.0,oeste,12/10/2018,Buritis,Rua Laura Soares Carneiro,177,
