Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,Unnamed: 17
355185,340000.0,68.0,-19.8726778,-43.93161720000001,3,1,1,1,360.0,80.33,nordeste,Palmares,None,286,,
3234341,340000.0,60.0,-19.890867999999998,-43.90800999999999,2,2,1,1,350.0,175.0,leste,Santa Inês,None,286,,
3254194,340000.0,68.0,-19.9253447,-43.91691179999998,2,2,0,1,650.0,141.0,centro-sul,Santa Efigênia,None,286,,
3256480,345000.0,85.0,-19.9192015,-43.98710080000001,3,2,0,1,300.0,93.0,noroeste,Minas Brasil,None,287,,
333868,347500.0,67.39,-19.91331,-43.96239400000002,3,2,1,2,450.0,128.59,noroeste,Padre Eustáquio,None,287,,
3236057,348000.0,73.21,-19.9012376,-43.92534710000001,3,2,1,1,300.0,134.68,leste,Sagrada Família,None,287,,
46313,350000.0,85.0,-19.8306475,-43.9714535,3,2,1,2,200.0,1.0,pampulha,Santa Branca,None,287,,
46422,350000.0,85.0,-19.8306475,-43.9714535,3,2,1,2,250.0,1.0,pampulha,Santa Mônica,None,287,,
51340,350000.0,60.0,-19.8870937,-43.98135300000001,3,1,1,1,300.0,60.0,pampulha,Paquetá,None,287,,
53950,350000.0,52.0,-19.8999901,-43.970084199999974,2,1,0,3,170.0,132.91,noroeste,Caiçaras,None,287,,
173652,350000.0,93.26,-19.9237687,-43.96325189999999,3,3,1,1,237.0,72.74,oeste,Prado,None,287,,
331208,350000.0,105.0,-19.918999399999997,-43.947576700000006,3,2,0,0,700.0,91.68,centro-sul,Centro,None,287,,
358786,350000.0,90.0,-19.959752899999998,-43.946614200000006,3,2,1,1,300.0,168.36,centro-sul,Santa Lúcia,None,287,,
365957,350000.0,60.0,-19.918875399999997,-43.97686770000002,2,1,1,2,300.0,98.93,noroeste,Padre Eustáquio,None,287,,
3233097,350000.0,78.0,-19.903526,-43.92766799999998,3,2,1,1,648.0,160.73,leste,Sagrada Família,None,287,,
3236035,350000.0,97.36,-19.930899800000002,-43.99575879999998,3,2,1,2,210.0,97.72,noroeste,João Pinheiro,None,287,,
3246285,350000.0,75.0,-19.913067899999998,-43.93123430000003,3,2,1,1,375.0,78.0,leste,Floresta,None,287,,
3258303,350000.0,68.0,-19.9130557,-43.98077280000001,3,1,1,1,500.0,150.0,noroeste,Padre Eustáquio,None,287,,
3264974,350000.0,60.0,-19.92824,-43.932604999999974,2,1,0,1,200.0,59.09,centro-sul,Funcionários,None,288,,
3266029,350000.0,70.65,-19.9346926,-43.97792190000001,2,2,0,1,281.0,175.77,oeste,Nova Suíssa,None,288,,
3259396,359000.0,75.88,-19.924975500000002,-44.0024411,3,2,1,2,300.0,111.72,noroeste,João Pinheiro,None,288,,
